# ----------------------------------------
# Copy of Demographic details: Town/City
# Account: FESTIM
# Property: tutorials
# ----------------------------------------
# 
# All Users
# Start date: 20251203
# End date: 20260302
Town/City,Active users,New users,Engaged sessions,Engagement rate,Engaged sessions per active user,Average engagement time per active user,Event count,Key events,User key event rate,Total revenue
(not set),39,32,61,0.5545454545454546,1.564102564102564,578.025641025641,878,0,0,0
Cambridge,22,18,119,0.595,5.409090909090909,1238.590909090909,1981,0,0,0
Cardiff,8,8,1,0.125,0.125,0,30,0,0,0
Boston,7,2,16,0.6956521739130435,2.2857142857142856,323.14285714285717,186,0,0,0
London,7,7,10,0.45454545454545453,1.4285714285714286,242.57142857142858,128,0,0,0
Ashburn,5,5,0,0,0,2.2,24,0,0,0
Manchester,5,5,4,0.36363636363636365,0.8,15.8,55,0,0,0
Chicago,4,1,5,0.8333333333333334,1.25,52.5,38,0,0,0
Brussels,3,3,0,0,0,0,10,0,0,0
Kyoto,3,3,3,0.6,1,8.333333333333334,29,0,0,0
Oslo Municipality,3,3,1,0.25,0.3333333333333333,8,13,0,0,0
Somerville,3,3,8,0.5333333333333333,2.6666666666666665,123.66666666666667,155,0,0,0
Amsterdam,2,1,2,1,1,43,17,0,0,0
Bristol,2,2,2,0.5,1,266,31,0,0,0
Catskill,2,0,0,0,0,0,4,0,0,0
College Station,2,2,1,0.3333333333333333,0.5,2.5,12,0,0,0
Framingham,2,0,6,0.46153846153846156,3,306.5,137,0,0,0
Los Angeles,2,1,0,0,0,0,10,0,0,0
Metter,2,0,1,0.5,0.5,43,25,0,0,0
Milan,2,1,2,1,1,256,61,0,0,0
Moscow,2,2,2,0.6666666666666666,1,48.5,35,0,0,0
Munich,2,2,28,0.6829268292682927,14,3855.5,292,0,0,0
North Augusta,2,2,2,0.4,1,14.5,28,0,0,0
Oxford,2,1,1,0.2,0.5,15,18,0,0,0
Paris,2,2,2,1,1,2,11,0,0,0
San Diego,2,2,3,0.6,1.5,149,28,0,0,0
Shizuoka,2,2,2,0.6666666666666666,1,42.5,30,0,0,0
Tehran,2,2,1,0.5,0.5,77,14,0,0,0
Turin,2,2,2,0.6666666666666666,1,38,19,0,0,0
,1,0,0,0,0,24,6,0,0,0
Albuquerque,1,1,1,1,1,66,8,0,0,0
Bangor,1,1,1,0.25,1,43,10,0,0,0
Barranquilla,1,1,3,0.3,3,196,28,0,0,0
Bath,1,1,0,0,0,0,4,0,0,0
Beijing,1,1,1,0.3333333333333333,1,9,9,0,0,0
Bothell,1,1,0,0,0,0,3,0,0,0
Breda,1,1,1,1,1,133,7,0,0,0
Brighton,1,1,1,1,1,347,17,0,0,0
Buena Vista,1,1,0,0,0,0,4,0,0,0
Burlington,1,1,2,1,2,35,17,0,0,0
Canajoharie,1,0,1,1,1,170,9,0,0,0
Chennai,1,1,2,0.5,2,335,28,0,0,0
Dallas,1,0,1,0.5,1,91,20,0,0,0
Des Moines,1,1,0,0,0,0,4,0,0,0
Didcot,1,1,1,0.25,1,512,17,0,0,0
Everett,1,1,4,0.6666666666666666,4,138,54,0,0,0
Eynsham,1,1,0,0,0,0,3,0,0,0
Fitchburg,1,1,0,0,0,4,6,0,0,0
Fort Gregg-Adams,1,1,1,1,1,59,8,0,0,0
