# ----------------------------------------
# View user engagement and retention overview
# Account: FESTIM
# Property: tutorials
# ----------------------------------------
#  
# Start date: 20251203
# End date: 20260302
Nth week,Active users
0007,11
0008,42
0009,50
0010,60
0011,29
0012,37
0013,13

# Start date: 20251203
# End date: 20260302
Nth week,New users
0007,11
0008,38
0009,33
0010,42
0011,16
0012,15
0013,1

# Where do your new users come from?
# Start date: 20251203
# End date: 20260302
First user primary channel group (Default channel group),New users
Direct,142
Organic Search,9
Referral,5

#  
# Start date: 20251203
# End date: 20260302
Page title and screen class,Views
The FESTIM tutorial — FESTIM tutorial,476
Simple simulation — FESTIM tutorial,189
TDS simulation — FESTIM tutorial,110
Basic functionality — FESTIM tutorial,82
DOLFINx meshes — FESTIM tutorial,58
Fitting a TDS spectrum — FESTIM tutorial,51
Simple permeation simulation — FESTIM tutorial,51
Mesh with GMSH — FESTIM tutorial,48
Mesh with SALOME — FESTIM tutorial,44
Hydrogen diffusion along grain boundaries — FESTIM tutorial,38
Permeation regimes — FESTIM tutorial,38
Monoblock — FESTIM tutorial,37
CAD integration — FESTIM tutorial,35
FESTIM meshes — FESTIM tutorial,35
Search - FESTIM tutorial,35
Reactions — FESTIM tutorial,32
Advanced functionality — FESTIM tutorial,30
Advection-diffusion problem — FESTIM tutorial,29
Chemical species — FESTIM tutorial,29
Heat transfer simulations — FESTIM tutorial,29
Permeation barrier modelling — FESTIM tutorial,29
Surface reactions — FESTIM tutorial,18
Using the HTM database — FESTIM tutorial,18
Choosing the appropriate exports for post-processing — FESTIM tutorial,17
Build FESTIM from scratch — FESTIM tutorial,16
Exporting derived quantities — FESTIM tutorial,15
Integration with HTM — FESTIM tutorial,14
Using PyVista for interactive visualization — FESTIM tutorial,14
Description — FESTIM tutorial,12
Hydrogen transport: advanced — FESTIM tutorial,11
Radioactive decay ☢️ — FESTIM tutorial,11
Visualizing fields in ParaView — FESTIM tutorial,11
Coupling to computational fluid dynamics — FESTIM tutorial,10
Derived quantities — FESTIM tutorial,10
Stepsize — FESTIM tutorial,9
Hydrogen transport: basic — FESTIM tutorial,8
Hydrogen transport: examples — FESTIM tutorial,8
Visualisation and post-processing — FESTIM tutorial,8
Exporting fields to VTX — FESTIM tutorial,7
Kinetic surface model — FESTIM tutorial,7
Settings — FESTIM tutorial,7
Concentration — FESTIM tutorial,6
Damaged induced traps — FESTIM tutorial,6
