Day,Count
2023-11-23,1
2023-11-27,3
2023-12-04,1
2023-12-05,1
2023-12-13,1
2024-01-25,1
2024-04-06,1
2024-04-19,1
2024-04-26,1
2024-05-07,1
2024-05-16,1
2024-05-25,1
2024-06-27,1
2024-07-12,1
2024-07-22,1
2024-07-23,1
2024-07-24,1
2024-07-25,1
2024-08-01,1
2024-08-30,1
2024-09-23,1
2024-10-06,1
2024-10-07,1
2024-10-18,1
2024-11-01,1
2024-12-12,1
2025-01-20,1
2025-01-23,1
2025-02-13,1
2025-03-12,1
2025-03-20,1
2025-04-24,1
2025-06-22,1
2025-06-30,1
2025-07-09,1
2025-07-29,1
2025-07-31,1
2025-08-07,1
2025-09-16,1
2025-10-15,1
2025-10-29,1
2025-10-31,1
2025-11-11,1
2025-12-03,1
2026-01-16,1
2026-02-05,1
2026-02-27,1
