# ----------------------------------------
# Reports snapshot
# Account: FESTIM
# Property: tutorials
# ----------------------------------------
#  
# Start date: 20251203
# End date: 20260302
Active users,New users,Average engagement time per active user,Event count
159,156,474.37106918238993,5404

#  
# Start date: 20251203
# End date: 20260302
Page title and screen class,Views,Active users,Event count,Bounce rate
The FESTIM tutorial — FESTIM tutorial,476,108,1696,0.2715654952076677
Simple simulation — FESTIM tutorial,189,64,509,0.2883435582822086
TDS simulation — FESTIM tutorial,110,40,290,0.18556701030927836
Basic functionality — FESTIM tutorial,82,22,231,0.34146341463414637
DOLFINx meshes — FESTIM tutorial,58,20,149,0.18181818181818182
Fitting a TDS spectrum — FESTIM tutorial,51,22,137,0.3333333333333333
Simple permeation simulation — FESTIM tutorial,51,26,132,0.2558139534883721
Mesh with GMSH — FESTIM tutorial,48,17,132,0.2
Mesh with SALOME — FESTIM tutorial,44,19,143,0.3181818181818182
Hydrogen diffusion along grain boundaries — FESTIM tutorial,38,24,115,0.35714285714285715
Permeation regimes — FESTIM tutorial,38,15,90,0.3611111111111111
Monoblock — FESTIM tutorial,37,13,109,0.325
CAD integration — FESTIM tutorial,35,19,74,0.1875
FESTIM meshes — FESTIM tutorial,35,15,82,0.18181818181818182
Search - FESTIM tutorial,35,6,141,0.1111111111111111
Reactions — FESTIM tutorial,32,10,81,0.0967741935483871
Advanced functionality — FESTIM tutorial,30,12,84,0.23333333333333334
Advection-diffusion problem — FESTIM tutorial,29,13,77,0.14814814814814814
Chemical species — FESTIM tutorial,29,17,74,0.2222222222222222
Heat transfer simulations — FESTIM tutorial,29,13,75,0.16
Permeation barrier modelling — FESTIM tutorial,29,16,75,0.06896551724137931
Surface reactions — FESTIM tutorial,18,12,51,0.06666666666666667
Using the HTM database — FESTIM tutorial,18,8,44,0.2222222222222222
Choosing the appropriate exports for post-processing — FESTIM tutorial,17,8,40,0
Build FESTIM from scratch — FESTIM tutorial,16,5,58,0.35
Exporting derived quantities — FESTIM tutorial,15,5,42,0.25
Integration with HTM — FESTIM tutorial,14,9,42,0.3125
Using PyVista for interactive visualization — FESTIM tutorial,14,10,38,0.14285714285714285
Description — FESTIM tutorial,12,7,30,0.21428571428571427
Hydrogen transport: advanced — FESTIM tutorial,11,5,32,0.16666666666666666
Radioactive decay ☢️ — FESTIM tutorial,11,8,28,0.08333333333333333
Visualizing fields in ParaView — FESTIM tutorial,11,7,30,0.2222222222222222
Coupling to computational fluid dynamics — FESTIM tutorial,10,3,29,0.375
Derived quantities — FESTIM tutorial,10,5,24,0.125
Stepsize — FESTIM tutorial,9,3,19,0
Hydrogen transport: basic — FESTIM tutorial,8,6,22,0.1111111111111111
Hydrogen transport: examples — FESTIM tutorial,8,5,19,0.1111111111111111
Visualisation and post-processing — FESTIM tutorial,8,6,21,0
Exporting fields to VTX — FESTIM tutorial,7,4,20,0
Kinetic surface model — FESTIM tutorial,7,7,21,0.2
Settings — FESTIM tutorial,7,3,17,0
Concentration — FESTIM tutorial,6,4,14,0
Damaged induced traps — FESTIM tutorial,6,5,17,0.3333333333333333
Fixed value and flux boundary condition mathematics — FESTIM tutorial,6,5,18,0
Modelling discontinuous trapped concentration profiles — FESTIM tutorial,6,5,14,0.16666666666666666
Solution — FESTIM tutorial,6,4,16,0.2857142857142857
Exporting fields — FESTIM tutorial,5,4,15,0.2
Advanced examples — FESTIM tutorial,4,2,10,0
Challenge C: Evaluate the hydrogen surface flux from a EUROFER pipe — FESTIM tutorial,4,4,13,0
Coupling to neutronics — FESTIM tutorial,4,2,10,0
Soret effect — FESTIM tutorial,4,4,11,0
Challenge A: Evaluate the PRF of an alumina coating on Eurofer — FESTIM tutorial,3,3,9,0
Challenge E: compute the extraction efficiency of a PAV extractor — FESTIM tutorial,3,1,9,0
Temperature — FESTIM tutorial,3,1,8,0
